WMshort,s2lam001_230713,s2lam001_230725,s2lam001_230802,s2lam001_230809,s2lam001_230815,s2lam001_231001,s2lam001_231013,s2lam001_231025,s2lam001_231117,s2lam002_230807,s2lam002_231011,s2lam002_231103,s2lam002_231115,s2lam002_231127,s2lam003_230705,s2lam003_230710,s2lam003_230807,s2lam003_230823,s2lam003_231011,s2lam003_231103,s2lam003_231115,s2lam003_231127,s2lam005_230725,s2lam005_231113,s2lam006_230705,s2lam006_230710,s2lam006_230808,s2lam006_230823,s2lam006_231011,s2lam006_231103,s2lam006_231115,s2lam006_231127,s2lam010_230807,s2lam010_231011,s2lam010_231103,s2lam010_231115,s2lam010_231127,s2lam015_230705,s2lam015_230710,s2lam015_230907,s2lam015_231018,s2lam015_231107,s2lam015_231118,s2lam015_231128,s2lam016_230703,s2lam016_230711,s2lam016_230718,s2lam016_230725,s2lam016_230804,s2lam016_230811,s2lam016_230818,s2lam016_230829,s2lam016_231011,s2lam016_231020,s2lam016_231027,s2lam016_231103,s2lam016_231110,s2lam016_231117,s2lam016_231125,s2lam017_230622,s2lam017_230710,s2lam017_230807,s2lam017_230823,s2lam017_231027,s2lam017_231108,s2lam017_231118,s2lam017_231128,s2lam020_230712,s2lam020_230727,s2lam020_230810,s2lam020_231010,s2lam020_231028,s2lam020_231117,s2lam020_231125,s2lam021_230718,s2lam021_230810,s2lam021_231110,s2lam021_231117,s2lam021_231125,s2lam022_230707,s2lam022_230714,s2lam022_230726,s2lam022_230808,s2lam022_231010,s2lam022_231019,s2lam022_231106,s2lam023_230712,s2lam023_230727,s2lam023_230810,s2lam023_231010,s2lam023_231028,s2lam023_231117,s2lam024_230808,s2lam024_230822,s2lam025_230721,s2lam025_230815,s2lam025_231109,s2lam026_230605,s2lam026_230630,s2lam026_230705,s2lam026_230725,s2lam026_230807,s2lam026_230812,s2lam026_230822,s2lam026_231010,s2lam026_231029,s2lam026_231117,s2lam026_231125,s2lam027_230705,s2lam027_230710,s2lam027_230807,s2lam027_231103,s2lam027_231115,s2lam027_231127,s2lam029_230714,s2lam029_230726,s2lam029_230808,s2lam029_231010,s2lam029_231019,s2lam029_231106,s2lam029_231114,s2lam030_230704,s2lam030_230805,s2lam030_230811,s2lam030_230826,s2lam030_231025,s2lam030_231031,s2lam030_231106,s2lam032_230714,s2lam032_230726,s2lam032_230808,s2lam032_230822,s2lam032_231010,s2lam032_231019,s2lam032_231106,s2lam037_230705,s2lam037_230805,s2lam037_230812,s2lam037_230826,s2lam037_231025,s2lam037_231031,s2lam037_231106,s2lam038_230703,s2lam038_230711,s2lam038_230718,s2lam038_230725,s2lam038_230804,s2lam038_230811,s2lam038_230819,s2lam038_230829,s2lam038_231011,s2lam038_231020,s2lam038_231027,s2lam038_231103,s2lam038_231110,s2lam038_231117,s2lam038_231125,s2lam038_231130,s2lam039_230613,s2lam039_230622,s2lam039_230712,s2lam039_231005,s2lam039_231013,s2lam039_231026,s2lam040_230617,s2lam040_230703,s2lam040_230711,s2lam040_230718,s2lam040_230725,s2lam040_230804,s2lam040_230811,s2lam040_230818,s2lam040_230829,s2lam040_231011,s2lam040_231020,s2lam040_231027,s2lam040_231103,s2lam040_231110,s2lam040_231117,s2lam040_231125,s2lam040_231130,s2lam041_230617,s2lam041_230703,s2lam041_230711,s2lam041_230718,s2lam041_230804,s2lam041_230811,s2lam041_230818,s2lam041_231004,s2lam041_231011,s2lam041_231020,s2lam041_231027,s2lam041_231103,s2lam041_231110,s2lam041_231117,s2lam041_231125,s2lam041_231130,s2lam042_230705,s2lam042_230710,s2lam042_230805,s2lam042_230812,s2lam042_230826,s2lam042_231025,s2lam042_231031,s2lam042_231106,s2lam044_230613,s2lam044_230622,s2lam044_230809,s2lam044_230815,s2lam044_230930,s2lam044_231026,s2lam044_231117,s2lam044_231130,s2lam045_230705,s2lam045_230725,s2lam045_230808,s2lam045_231011,s2lam045_231016,s2lam045_231022,s2lam045_231028,s2lam045_231110,s2lam045_231117,s2lam046_230705,s2lam046_230805,s2lam046_230812,s2lam046_230826,s2lam046_231025,s2lam046_231031,s2lam046_231106,s2lam047_230703,s2lam047_230807,s2lam047_230823,s2lam047_231107,s2lam047_231128,s2lam049_230613,s2lam049_230622,s2lam049_230712,s2lam049_230809,s2lam049_230815,s2lam049_230930,s2lam049_231026,s2lam049_231130,s2lam050_230705,s2lam050_230805,s2lam050_230812,s2lam050_230826,s2lam051_230702,s2lam051_230710,s2lam051_230717,s2lam051_230820,s2lam051_231010,s2lam051_231030,s2lam051_231113,s2lam052_230702,s2lam052_230710,s2lam052_230717,s2lam052_230820,s2lam052_231011,s2lam052_231103,s2lam052_231115,s2lam052_231128,s2lam054_230605,s2lam054_230630,s2lam054_230705,s2lam054_230725,s2lam054_230807,s2lam054_230812,s2lam054_230822,s2lam055_230705,s2lam055_230710,s2lam055_230907,s2lam055_231018,s2lam056_230705,s2lam056_230710,s2lam056_230907,s2lam056_231018,s2lam056_231107,s2lam056_231118,s2lam056_231128,s2lam057_230807,s2lam057_231011,s2lam058_230605,s2lam058_230630,s2lam058_230705,s2lam058_230725,s2lam058_230811,s2lam058_231010,s2lam058_231016,s2lam058_231022,s2lam058_231028,s2lam058_231110,s2lam058_231117,s2lam059_230704,s2lam059_230812,s2lam059_230826,s2lam060_230809,s2lam060_230815,s2lam060_230930,s2lam060_231013,s2lam060_231025,s2lam061_230721,s2lam061_230814,s2lam061_231113,s2lam063_230630,s2lam063_230725,s2lam063_230807,s2lam063_230812,s2lam063_230822,s2lam063_231011,s2lam063_231016,s2lam063_231022,s2lam063_231029,s2lam063_231117,s2lam063_231125,s2lam065_230622,s2lam065_230702,s2lam065_230710,s2lam065_230717,s2lam065_231010,s2lam065_231020,s2lam067_230713,s2lam067_230725,s2lam067_231005,s2lam067_231014,s2lam067_231025,s2lam068_230622,s2lam068_230702,s2lam068_230710,s2lam068_230717,s2lam069_230702,s2lam069_230710,s2lam069_230717,s2lam069_231010,s2lam069_231020,s2lam069_231113,s2lam071_230702,s2lam071_230710,s2lam071_230717,s2lam071_230820,s2lam071_231011,s2lam071_231103,s2lam071_231115,s2lam071_231127,s2lam072_230704,s2lam072_230805,s2lam072_230812,s2lam072_230826,s2lam072_231025,s2lam072_231031,s2lam072_231106,s2lam073_230705,s2lam073_230710,s2lam073_230807,s2lam073_231010,s2lam073_231020,s2lam073_231113,s2lam074_230617,s2lam074_230703,s2lam074_230711,s2lam074_230718,s2lam074_230725,s2lam074_230804,s2lam074_230811,s2lam074_230818,s2lam074_230829,s2lam074_231004,s2lam074_231011,s2lam074_231020,s2lam074_231027,s2lam074_231103,s2lam074_231110,s2lam074_231117,s2lam074_231125,s2lam074_231130,s2lam076_230613,s2lam076_230622,s2lam076_230712,s2lam076_230809,s2lam076_230815,s2lam076_231001,s2lam076_231013,s2lam076_231025,s2lam076_231117,s2lam077_230808,s2lam077_230823,s2lam077_231108,s2lam077_231118,s2lam077_231128,s2lam078_230605,s2lam078_230630,s2lam078_230705,s2lam078_230725,s2lam078_230811,s2lam078_231010,s2lam078_231016,s2lam078_231022,s2lam078_231028,s2lam078_231117,s2lam079_230725,s2lam079_230804,s2lam079_230811,s2lam079_230819,s2lam079_230829,s2lam079_231011,s2lam079_231020,s2lam079_231027,s2lam079_231103,s2lam079_231117,s2lam079_231125,s2lam079_231130,s2lam080_230807,s2lam080_231027,s2lam080_231108,s2lam080_231118,s2lam080_231128,s2lam081_230605,s2lam081_230630,s2lam081_230705,s2lam082_230714,s2lam082_230726,s2lam082_230808,s2lam082_231010,s2lam082_231019,s2lam082_231106,s2lam083_230705,s2lam083_230805,s2lam083_230811,s2lam083_230826,s2lam083_231025,s2lam083_231031,s2lam083_231106,s2lam084_230605,s2lam084_230630,s2lam084_230705,s2lam084_230725,s2lam084_230807,s2lam084_230813,s2lam084_230820,s2lam084_231110,s2lam084_231117,s2lam085_230703,s2lam085_230808,s2lam085_230822,s2lam085_231108,s2lam085_231128,s2lam086_230702,s2lam086_230710,s2lam086_230717,s2lam086_230820,s2lam086_231010,s2lam086_231113,s2lam087_230714,s2lam087_230726,s2lam087_230808,s2lam087_230822,s2lam087_231019,s2lam087_231106,s2lam087_231115,s2lam088_230703,s2lam088_230711,s2lam088_230718,s2lam088_230725,s2lam088_230804,s2lam088_230811,s2lam088_230819,s2lam088_230829,s2lam088_231011,s2lam088_231020,s2lam088_231027,s2lam088_231103,s2lam088_231110,s2lam088_231117,s2lam088_231125,s2lam088_231130,s2lam089_230702,s2lam089_230710,s2lam089_230717,s2lam089_230820,s2lam089_231025,s2lam089_231031,s2lam089_231106,s2lam090_230718,s2lam091_230605,s2lam091_230712,s2lam091_230727,s2lam091_231017,s2lam091_231113,s2lam092_230705,s2lam092_230804,s2lam092_230812,s2lam092_230826,s2lam092_231025,s2lam092_231031,s2lam092_231106,s2lam093_230703,s2lam093_230711,s2lam093_230718,s2lam093_230725,s2lam093_230804,s2lam093_230811,s2lam093_230818,s2lam093_230829,s2lam093_231004,s2lam093_231011,s2lam093_231020,s2lam093_231027,s2lam093_231110,s2lam093_231117,s2lam093_231125,s2lam093_231130,s2lam095_230710,s2lam095_230814,s2lam095_231017,s2lam095_231109,s2lam096_230807,s2lam096_230823,s2lam096_231027,s2lam096_231107,s2lam096_231118,s2lam096_231128,s2lam097_230703,s2lam097_230808,s2lam098_230712,s2lam098_230811,s2lam098_231029,s2lam098_231117,s2lam098_231125,s2lam099_230703,s2lam099_230808,s2lam099_231011,s2lam099_231103,s2lam099_231115,s2lam101_230605,s2lam101_230630,s2lam101_230705,s2lam101_230725,s2lam101_230811,s2lam101_231010,s2lam101_231016,s2lam101_231022,s2lam101_231028,s2lam101_231110,s2lam101_231117,s2lam103_230714,s2lam103_230726,s2lam103_230808,s2lam103_231010,s2lam103_231019,s2lam103_231106,s2lam103_231114,s2lam104_230617,s2lam104_230703,s2lam104_230711,s2lam104_230718,s2lam104_230725,s2lam104_230804,s2lam104_230811,s2lam104_230818,s2lam104_230829,s2lam104_231004,s2lam104_231011,s2lam104_231020,s2lam104_231103,s2lam104_231110,s2lam104_231117,s2lam104_231125,s2lam104_231130,s2lam105_230630,s2lam105_230705,s2lam105_230725,s2lam105_230807,s2lam105_230812,s2lam105_230820,s2lam105_231016,s2lam105_231022,s2lam105_231029,s2lam105_231110,s2lam105_231117,s2lam106_230725,s2lam107_230617,s2lam107_230703,s2lam107_230711,s2lam107_230718,s2lam107_230725,s2lam107_230811,s2lam107_230819,s2lam107_230829,s2lam107_231004,s2lam107_231027,s2lam107_231103,s2lam107_231110,s2lam107_231117,s2lam107_231125,s2lam107_231130,s2lam108_230726,s2lam108_230808,s2lam108_230822,s2lam108_231010,s2lam108_231019,s2lam108_231106,s2lam109_230702,s2lam109_230710,s2lam109_230717,s2lam109_231010,s2lam109_231113,s2lam110_230702,s2lam110_230710,s2lam110_230717,s2lam110_230820,s2lam110_231010,s2lam110_231020,s2lam111_230707,s2lam111_230717,s2lam111_231005,s2lam111_231013,s2lam111_231025,s2lam111_231117,s2lam111_231122,s2lam112_230705,s2lam112_230805,s2lam112_230812,s2lam112_230826,s2lam112_231025,s2lam112_231031,s2lam112_231106,s2lam113_230703,s2lam113_230808,s2lam113_230822,s2lam113_231103,s2lam113_231115,s2lam113_231127,s2lam114_230617,s2lam114_230703,s2lam114_230711,s2lam114_230718,s2lam114_230725,s2lam114_230804,s2lam114_230811,s2lam114_230819,s2lam114_230829,s2lam114_231004,s2lam114_231011,s2lam114_231020,s2lam114_231027,s2lam114_231103,s2lam114_231110,s2lam114_231117,s2lam114_231125,s2lam114_231130,s2lam115_230714,s2lam115_230726,s2lam115_230808,s2lam115_231010,s2lam115_231019,s2lam115_231106,s2lam115_231114,s2lam116_230710,s2lam116_230807,s2lam116_230812,s2lam116_230822,s2lam116_231028,s2lam116_231110,s2lam116_231117,s2lam117_230703,s2lam117_230725,s2lam117_230802,s2lam117_230809,s2lam117_230815,s2lam117_231005,s2lam117_231013,s2lam117_231025,s2lam117_231117,s2lam118_230703,s2lam118_230713,s2lam118_230802,s2lam118_230809,s2lam118_230815,s2lam118_231001,s2lam118_231013,s2lam118_231025,s2lam118_231117,s2lam118_231122,s2lam119_230713,s2lam119_230725,s2lam119_230802,s2lam119_230809,s2lam119_230815,s2lam119_231001,s2lam119_231026,s2lam119_231117,s2lam120_230710,s2lam120_230807,s2lam120_230812,s2lam120_230820,s2lam120_231117,s2lam121_230727,s2lam121_230807,s2lam121_230813,s2lam121_230822,s2lam121_231028,s2lam121_231117,s2lam121_231125,s2lam122_230714,s2lam122_230726,s2lam122_230808,s2lam122_230822,s2lam122_231010,s2lam122_231019,s2lam122_231106,s2lam122_231114,s2lam123_230710,s2lam123_230812,s2lam123_230820,s2lam123_231010,s2lam123_231016,s2lam123_231022,s2lam123_231028,s2lam123_231110,s2lam123_231117,s2lam123_231125,s2lam125_230713,s2lam125_230725,s2lam125_230803,s2lam125_230809,s2lam125_230815,s2lam125_231001,s2lam125_231014,s2lam125_231026,s2lam125_231117,s2lam125_231122,s2lam126_230710,s2lam126_230807,s2lam126_230812,s2lam126_230820,s2lam126_231010,s2lam126_231016,s2lam126_231022,s2lam126_231029,s2lam126_231117,s2lam127_230707,s2lam127_230717,s2lam127_231005,s2lam127_231013,s2lam127_231025,s2lam127_231117,s2lam127_231122,s2lam128_230703,s2lam128_230713,s2lam128_230725,s2lam128_230802,s2lam128_230809,s2lam128_230815,s2lam128_230930,s2lam128_231014,s2lam128_231026,s2lam128_231122,s2lam129_230717,s2lam129_230807,s2lam129_230812,s2lam129_230820,s2lam129_231010,s2lam129_231029,s2lam129_231117,s2lam129_231125,s2lam130_230713,s2lam130_230725,s2lam130_231005,s2lam130_231013,s2lam130_231025,s2lam130_231117,s2lam130_231130,s2lam131_230703,s2lam131_230713,s2lam131_230725,s2lam131_230802,s2lam131_230809,s2lam131_230815,s2lam131_231001,s2lam131_231014,s2lam131_231026,s2lam131_231117,s2lam131_231203,s2lam132_230807,s2lam132_230822,s2lam132_231027,s2lam132_231108,s2lam132_231128,s2lam133_230808,s2lam133_231011,s2lam133_231103,s2lam133_231115,s2lam133_231127,s2lam134_230807,s2lam134_231027,s2lam134_231107,s2lam134_231128,s2lam135_230713,s2lam135_230725,s2lam135_230802,s2lam135_230809,s2lam135_230815,s2lam135_230930,s2lam135_231026,s2lam136_230727,s2lam136_230807,s2lam136_230813,s2lam136_230822,s2lam136_231010,s2lam136_231016,s2lam136_231022,s2lam136_231028,s2lam136_231110,s2lam136_231117,s2lam136_231125,s2lam137_230703,s2lam137_230713,s2lam137_230725,s2lam137_230802,s2lam137_230809,s2lam137_230815,s2lam137_231003,s2lam137_231011,s2lam137_231026,s2lam137_231117,s2lam137_231122,s2lam138_230713,s2lam138_230725,s2lam138_230802,s2lam138_230809,s2lam138_230815,s2lam138_230930,s2lam138_231011,s2lam138_231026,s2lam138_231117,s2lam138_231130,s2lam139_230718,s2lam139_230807,s2lam139_230813,s2lam139_230822,s2lam139_231009,s2lam140_230727,s2lam140_230807,s2lam140_230812,s2lam140_230822,s2lam140_231009,s2lam141_230807,s2lam141_230813,s2lam141_230820,s2lam141_231010,s2lam141_231020,s2lam142_230707,s2lam142_230717,s2lam142_231005,s2lam142_231026,s2lam142_231130,s2lam143_230707,s2lam143_230717,s2lam143_231005,s2lam143_231013,s2lam143_231025,s2lam144_230707,s2lam144_230717,s2lam144_231005,s2lam144_231013,s2lam144_231026,s2lam144_231130,s2lam145_230725,s2lam146_230718,s2lam146_230807,s2lam147_230721,s2lam147_230818,s2lam147_231113,s2lam148_230712,s2lam148_230727,s2lam148_230807,s2lam148_230813,s2lam148_230820,s2lam148_231009,s2lam148_231114,s2lam149_230707,s2lam149_231005,s2lam149_231013,s2lam149_231025,s2lam149_231117,s2lam149_231122,s2lam150_230721,s2lam150_230814,s2lam150_231017,s2lam150_231113,s2lam151_230713,s2lam151_230725,s2lam151_230802,s2lam151_230809,s2lam151_230815,s2lam151_230930,s2lam151_231026,s2lam151_231117,s2lam151_231122,s2lam152_230712,s2lam152_230815,s2lam152_231109,s2lam154_230717,s2lam154_231005,s2lam154_231013,s2lam154_231025,s2lam155_230707,s2lam155_230717,s2lam155_231005,s2lam155_231013,s2lam155_231025,s2lam156_230713,s2lam156_230802,s2lam157_230712,s2lam157_230727,s2lam157_230807,s2lam157_230812,s2lam157_230822,s2lam157_231009,s2lam157_231109,s2lam158_230707,s2lam158_230717,s2lam158_231005,s2lam158_231014,s2lam158_231026,s2lam158_231203,s2lam159_230713,s2lam159_230725,s2lam159_230802,s2lam159_230809,s2lam159_230815,s2lam159_231003,s2lam159_231013,s2lam159_231025,s2lam159_231122,s2lam160_230707,s2lam160_230717,s2lam160_231005,s2lam160_231014,s2lam160_231026,s2lam160_231117,s2lam160_231122,s2lam161_230718,s2lam161_230807,s2lam161_230820,s2lam161_231009,s2lam161_231109,s2lam162_230707,s2lam162_230714,s2lam162_230726,s2lam162_230808,s2lam162_230822,s2lam162_231010,s2lam162_231019,s2lam162_231106,s2lam162_231115,s2lam163_230712,s2lam163_230727,s2lam163_230807,s2lam163_230813,s2lam163_230820,s2lam163_231010,s2lam163_231109,s2lam164_230725,s2lam164_230815,s2lam164_231109,s2lam165_230725,s2lam165_231017,s2lam165_231109,s2lam166_231122,s2lam167_231123,s2lam168_231122,s2lam169_231123,s2lam172_231124,s2lam173_231124,s2lam174_231124,s2lam175_231122,s2lam176_231123,s2lam178_231123,s2lam179_231124,s2lam180_231124,s2lam181_231124,s2lam182_231122,s2lam183_231123,s2lam184_231124,s2lam185_231123,s2lam186_231122,s2lam187_231123,s2lam188_231124,s2lam189_231123,s2lam190_231124,s2lam191_231122,s2lam192_231122,s2lam193_231124,s2lam194_231122
aloaeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andimp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
